Google;34;7.50552%
and;25;5.51876%
the;15;3.31126%
of;14;3.09051%
is;6;1.3245%
in;6;1.3245%
Alphabet;6;1.3245%
company;5;1.10375%
was;4;0.883002%
s;4;0.883002%
on;4;0.883002%
has;4;0.883002%
a;4;0.883002%
with;3;0.662252%
system;3;0.662252%
search;3;0.662252%
products;3;0.662252%
operating;3;0.662252%
most;3;0.662252%
its;3;0.662252%
hardware;3;0.662252%
by;3;0.662252%
an;3;0.662252%
also;3;0.662252%
The;3;0.662252%
It;3;0.662252%
Internet;3;0.662252%
CEO;3;0.662252%
2015;3;0.662252%
websites;2;0.441501%
voting;2;0.441501%
video;2;0.441501%
they;2;0.441501%
technology;2;0.441501%
subsidiary;2;0.441501%
services;2;0.441501%
public;2;0.441501%
owned;2;0.441501%
list;2;0.441501%
it;2;0.441501%
including;2;0.441501%
founded;2;0.441501%
for;2;0.441501%
engine;2;0.441501%
cloud;2;0.441501%
became;2;0.441501%
as;2;0.441501%
YouTube;2;0.441501%
Pichai;2;0.441501%
Page;2;0.441501%
On;2;0.441501%
OS;2;0.441501%
Larry;2;0.441501%
In;2;0.441501%
Chrome;2;0.441501%
Blogger;2;0.441501%
American;2;0.441501%
14;2;0.441501%
worldwide;1;0.220751%
work;1;0.220751%
wireless;1;0.220751%
wholly;1;0.220751%
who;1;0.220751%
while;1;0.220751%
which;1;0.220751%
were;1;0.220751%
went;1;0.220751%
website;1;0.220751%
web;1;0.220751%
visited;1;0.220751%
via;1;0.220751%
valuable;1;0.220751%
translation;1;0.220751%
to;1;0.220751%
time;1;0.220751%
through;1;0.220751%
that;1;0.220751%
technologies;1;0.220751%
tax;1;0.220751%
taking;1;0.220751%
super;1;0.220751%
such;1;0.220751%
students;1;0.220751%
storage;1;0.220751%
stockholder;1;0.220751%
stock;1;0.220751%
specializes;1;0.220751%
speaker;1;0.220751%
source;1;0.220751%
software;1;0.220751%
smartphones;1;0.220751%
smart;1;0.220751%
since;1;0.220751%
significant;1;0.220751%
sharing;1;0.220751%
shares;1;0.220751%
second;1;0.220751%
scheduling;1;0.220751%
router;1;0.220751%
replacing;1;0.220751%
reorganized;1;0.220751%
released;1;0.220751%
related;1;0.220751%
received;1;0.220751%
rapid;1;0.220751%
ranked;1;0.220751%
publishing;1;0.220751%
publicly;1;0.220751%
proprietary;1;0.220751%
properties;1;0.220751%
productivity;1;0.220751%
production;1;0.220751%
privacy;1;0.220751%
power;1;0.220751%
position;1;0.220751%
popular;1;0.220751%
podcast;1;0.220751%
photo;1;0.220751%
partnerships;1;0.220751%
partnered;1;0.220751%
own;1;0.220751%
other;1;0.220751%
organizing;1;0.220751%
open;1;0.220751%
online;1;0.220751%
one;1;0.220751%
offers;1;0.220751%
offering;1;0.220751%
note;1;0.220751%
neutrality;1;0.220751%
navigation;1;0.220751%
multiple;1;0.220751%
multinational;1;0.220751%
moved;1;0.220751%
monopoly;1;0.220751%
mobile;1;0.220751%
messaging;1;0.220751%
mesh;1;0.220751%
mapping;1;0.220751%
manufacturers;1;0.220751%
management;1;0.220751%
major;1;0.220751%
mainly;1;0.220751%
listed;1;0.220751%
line;1;0.220751%
lightweight;1;0.220751%
leads;1;0.220751%
largest;1;0.220751%
language;1;0.220751%
issues;1;0.220751%
involving;1;0.220751%
into;1;0.220751%
interests;1;0.220751%
instant;1;0.220751%
initial;1;0.220751%
information;1;0.220751%
industry;1;0.220751%
increasingly;1;0.220751%
incorporation;1;0.220751%
included;1;0.220751%
include;1;0.220751%
hosting;1;0.220751%
holding;1;0.220751%
growth;1;0.220751%
